final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,0.00017725827638059855,7000,8000,0.7033760366995365,0.9864735038603933,0.11412781350482318,full_steerage_v3,17
1.0,0.0003053768305107951,7500,8500,0.6510071978222008,0.967918312878897,0.07181814816381787,full_steerage_v3,74
1.0,0.00016556683112867177,6500,7500,0.700669710737213,0.9906395087194337,0.0837477788119817,full_steerage_v3,11
1.0,1.1736957276298199e-05,8000,8000,0.7512020433896599,0.8573241897740497,0.14271714757150109,full_steerage_v3,3
1.0,3.1712165764474776e-06,6500,7500,0.776617189425586,0.9961299497706824,0.09058824462684043,full_steerage_v3,119
1.0,0.00042410416062921286,7500,8500,0.6860722350958591,0.9934724077835936,0.08528013411744795,full_steerage_v3,65
1.0,3.835190909740049e-06,5500,5500,0.7685245058335505,0.9923985169824436,0.0956060141309866,full_steerage_v3,58
1.0,1.1519528925418854e-05,8000,8000,0.7497290802479163,0.8722768049064338,0.14078788712134035,full_steerage_v3,106
1.0,0.0003568796964827925,7000,7500,0.7036734984460246,0.9967122156117055,0.1006274856151633,full_steerage_v3,23
1.0,2.086703898385167e-05,7500,8000,0.7350814636017593,0.8670712184807001,0.15373609113217124,full_steerage_v3,85
1.0,0.0005592962843365967,8000,8000,0.6751882082321218,0.9968959106745767,0.08939752919275681,full_steerage_v3,48
1.0,1.4433226169785485e-05,7500,8000,0.7468624759456991,0.8876029469722978,0.14112767600270773,full_steerage_v3,39
0.9998067617416382,0.0006723410333506763,7500,7500,0.6603965390708627,0.9979996611532413,0.10177086859028603,full_steerage_v3,99
1.0,1.2762224287143908e-05,7500,7500,0.7403403526246704,0.7924007752227874,0.16634635725165003,full_steerage_v3,95
1.0,1.1090193765994627e-05,7500,7500,0.743495681821127,0.8387314216921227,0.15194671264173296,full_steerage_v3,43
1.0,0.00014613645907957107,7000,8000,0.6550071590115301,0.9966212389100761,0.10009149179218141,full_steerage_v3,7
1.0,1.0632046723912936e-05,7500,7500,0.7601615868118459,0.87710070812297,0.1333299839228296,full_steerage_v3,78
1.0,0.00016337248962372541,8000,9500,0.7027894950794786,0.9731750012064061,0.12397217168725674,full_steerage_v3,101
1.0,1.2670428986893967e-05,7500,7500,0.7411558729899014,0.8220493867664347,0.15653399475376545,full_steerage_v3,24
1.0,1.1317420103296172e-05,8000,8000,0.7513149121674183,0.7128050620262356,0.1757316699103063,full_steerage_v3,15
1.0,1.4963225112296641e-05,7500,8500,0.7407538487678452,0.8049869800298731,0.1624309845151464,full_steerage_v3,27
1.0,1.214406165672699e-05,7500,8500,0.7443480418506655,0.8413724179055572,0.15562357209341682,full_steerage_v3,33
1.0,1.1443700714153238e-05,8000,8000,0.750161092290837,0.7915766588020833,0.16503770731088171,full_steerage_v3,20
0.9998067617416382,0.0008707348606549203,8000,8000,0.6801557393629051,0.9767873887276288,0.07616030631240478,full_steerage_v3,25
1.0,3.95218876292347e-06,5500,7000,0.7681242030253368,0.9935622376222288,0.0967131705872398,full_steerage_v3,41
1.0,0.0005633177934214473,8000,8000,0.687969062536261,0.9980760559330281,0.09202038204433916,full_steerage_v3,16
1.0,1.0204578757111449e-05,7500,7500,0.7497595374538559,0.8806466263038478,0.14294746361482485,full_steerage_v3,113
1.0,1.2490709195844829e-05,7500,7500,0.7354642085253581,0.7755480762136827,0.1665809041292943,full_steerage_v3,60
1.0,0.00028888549422845244,8000,8000,0.6962642465969581,0.9943871617584886,0.10707448383821289,full_steerage_v3,96
1.0,4.921317213302245e-06,6000,6000,0.7747391109674445,0.9249818163280777,0.10190149559993228,full_steerage_v3,122
0.9998067617416382,0.0003709492739289999,8500,9000,0.6374404953710425,0.9956008255938351,0.10857986757488577,full_steerage_v3,55
1.0,0.0003124366339761764,7500,8000,0.6663552599687453,0.9961465015935657,0.09773597478422746,full_steerage_v3,29
1.0,1.8575550711830147e-05,8500,8500,0.7381714171551782,0.7762620365456255,0.17140590624471147,full_steerage_v3,71
1.0,1.1796843864431139e-05,7500,8000,0.7443552325552556,0.7789393871296695,0.16641378617363345,full_steerage_v3,91
1.0,0.0004526570555754006,7500,8000,0.7022567018744046,0.9900694404675529,0.08609033888982909,full_steerage_v3,54
1.0,1.2066937415511347e-05,7500,7500,0.7450300927917686,0.7853821963887005,0.16584235911321712,full_steerage_v3,12
1.0,3.3845255984488176e-06,7000,8000,0.778184518250227,0.9975381045001559,0.09297628617363343,full_steerage_v3,70
1.0,1.3377190043684095e-05,7500,8000,0.7468007511942301,0.9128147400289321,0.13125211541716025,full_steerage_v3,87
1.0,1.4044549971004017e-05,8000,8000,0.7429065041474631,0.7555119723664975,0.1721452445422237,full_steerage_v3,18
1.0,1.896495814435184e-05,8500,8500,0.7338023336709317,0.8619415901107902,0.15253612074801154,full_steerage_v3,4
1.0,7.665313205507118e-06,6500,7500,0.7596073911528706,0.8658902251152625,0.1315649327297343,full_steerage_v3,118
1.0,6.603605288546532e-05,7500,8500,0.6708518665304998,0.9903957185039196,0.08427821966491794,full_steerage_v3,97
1.0,1.005778176477179e-05,7500,8000,0.7557539231584517,0.7617108852267287,0.16554434972076493,full_steerage_v3,75
